transaction_id,date,product_code,customer_code,sold_quantity,revenue,cost,profit
T004805,2020-01-01,P031,C009,2,778.55,596,182.55
T000043,2020-01-01,P045,C004,1,1346.35,1009,337.35
T009457,2020-01-01,P019,C058,2,12536.26,9594,2942.26
T008542,2020-01-01,P048,C027,20,47410.8,38300,9110.8
T009192,2020-01-01,P016,C043,5,29449.1,22215,7234.1
T004996,2020-01-01,P023,C006,3,175307.38,138729,36578.38
T002759,2020-01-01,P038,C035,1,3020.34,2222,798.34
T002673,2020-01-01,P034,C009,15,159591.2,127530,32061.2
T001458,2020-01-01,P006,C008,1,37508.69,28939,8569.69
T005629,2020-01-02,P039,C021,2,7828.62,6458,1370.62
T009403,2020-01-02,P014,C064,3,196459.09,145449,51010.09
T000849,2020-01-02,P010,C050,2,4596.56,3534,1062.56
T009903,2020-01-02,P021,C003,1,2043.06,1475,568.06
T007421,2020-01-02,P031,C056,2,771.84,596,175.84
T006235,2020-01-02,P001,C048,10,52892.85,42720,10172.85
T009201,2020-01-02,P046,C059,1,42686.71,33748,8938.71
T007768,2020-01-02,P050,C002,2,129339.98,97328,32011.98
T007732,2020-01-03,P029,C068,2,125766.64,95324,30442.64
T009700,2020-01-03,P003,C021,1,48899.44,35495,13404.44
T005966,2020-01-03,P003,C075,1,43414.5,35495,7919.5
T006071,2020-01-03,P016,C030,5,27245.02,22215,5030.02
T002986,2020-01-03,P002,C002,25,2054992.46,1554850,500142.46
T005728,2020-01-03,P034,C065,1,11038.52,8502,2536.52
T006765,2020-01-03,P046,C036,3,123726.71,101244,22482.71
T006762,2020-01-03,P043,C033,2,4382.58,3216,1166.58
T003409,2020-01-04,P041,C025,1,2518.42,1863,655.42
T008668,2020-01-04,P044,C036,2,2009.74,1654,355.74
T009819,2020-01-04,P010,C040,2,4657.16,3534,1123.16
T009084,2020-01-04,P041,C050,5,11806.06,9315,2491.06
T008160,2020-01-04,P016,C067,15,93069.83,66645,26424.83
T006572,2020-01-04,P001,C066,1,5350.5,4272,1078.5
T003807,2020-01-04,P014,C021,25,1621596.57,1212075,409521.57
T000905,2020-01-05,P026,C030,1,41309.41,32695,8614.41
T009643,2020-01-05,P028,C048,1,878.35,678,200.35
T007321,2020-01-05,P003,C020,1,46149.49,35495,10654.49
T007156,2020-01-05,P019,C009,25,164935.89,119925,45010.89
T005697,2020-01-06,P033,C072,5,148631.18,108865,39766.18
T004856,2020-01-06,P012,C061,1,42241.19,33792,8449.19
T009235,2020-01-06,P030,C061,2,9388.24,7208,2180.24
T001891,2020-01-06,P041,C015,1,2456.0,1863,593.0
T001727,2020-01-06,P028,C069,3,2282.43,2034,248.43
T008275,2020-01-06,P037,C051,20,52612.73,43560,9052.73
T009179,2020-01-07,P003,C047,20,899159.88,709900,189259.88
T005235,2020-01-07,P030,C066,10,44179.78,36040,8139.78
T008279,2020-01-07,P047,C035,1,31225.31,25663,5562.31
T004838,2020-01-07,P047,C058,5,178355.15,128315,50040.15
T008623,2020-01-07,P014,C063,30,1869726.34,1454490,415236.34
T009604,2020-01-08,P035,C034,2,1243.43,1012,231.43
T003945,2020-01-08,P012,C016,1,41801.33,33792,8009.33
T001825,2020-01-08,P008,C034,1,3146.08,2347,799.08
T007189,2020-01-08,P016,C015,10,57873.94,44430,13443.94
T001749,2020-01-08,P049,C045,1,56064.35,47675,8389.35
T009236,2020-01-08,P009,C023,2,2478.72,1772,706.72
T005784,2020-01-08,P037,C067,3,8304.59,6534,1770.59
T001445,2020-01-08,P032,C064,10,24015.19,17700,6315.19
T000766,2020-01-09,P014,C071,1,58606.89,48483,10123.89
T000185,2020-01-09,P006,C073,1,37859.71,28939,8920.71
T009798,2020-01-09,P044,C064,3,2847.04,2481,366.04
T005569,2020-01-09,P039,C025,5,20483.89,16145,4338.89
T006695,2020-01-09,P008,C025,2,5675.62,4694,981.62
T008969,2020-01-09,P025,C065,2,173617.72,141548,32069.72
T002537,2020-01-09,P036,C029,20,1481440.17,1330460,150980.17
T005435,2020-01-10,P003,C019,3,133925.78,106485,27440.78
T000476,2020-01-10,P036,C009,1,93000.3,66523,26477.3
T006267,2020-01-10,P025,C019,10,883175.53,707740,175435.53
T003800,2020-01-10,P019,C019,20,123597.67,95940,27657.67
T003197,2020-01-10,P046,C058,5,207722.1,168740,38982.1
T002240,2020-01-10,P046,C050,1,45072.97,33748,11324.97
T000497,2020-01-10,P022,C017,5,104075.84,82645,21430.84
T006492,2020-01-10,P005,C064,15,11859.57,8775,3084.57
T002038,2020-01-10,P023,C070,20,1149820.83,924860,224960.83
T000089,2020-01-11,P010,C038,1,2270.1,1767,503.1
T000912,2020-01-11,P044,C026,20,23141.15,16540,6601.15
T001677,2020-01-11,P006,C012,2,61937.92,57878,4059.92
T006209,2020-01-11,P005,C064,20,14203.95,11700,2503.95
T009730,2020-01-12,P010,C068,2,4106.81,3534,572.81
T006513,2020-01-12,P037,C075,3,7865.28,6534,1331.28
T004368,2020-01-12,P035,C067,2,1271.13,1012,259.13
T001718,2020-01-13,P047,C044,25,861771.63,641575,220196.63
T007132,2020-01-13,P041,C033,1,2592.18,1863,729.18
T007905,2020-01-13,P026,C073,3,135315.25,98085,37230.25
T008131,2020-01-13,P005,C042,1,805.8,585,220.8
T007002,2020-01-13,P030,C053,50,216980.96,180200,36780.96
T008745,2020-01-13,P045,C054,15,18836.69,15135,3701.69
T007067,2020-01-13,P001,C029,3,16539.25,12816,3723.25
T006620,2020-01-13,P025,C056,1,87033.53,70774,16259.53
T000074,2020-01-13,P040,C002,1,37663.94,32693,4970.94
T001274,2020-01-14,P046,C001,2,80371.65,67496,12875.65
T008919,2020-01-14,P017,C016,3,3203.09,2295,908.09
T005251,2020-01-14,P002,C004,5,383045.55,310970,72075.55
T003673,2020-01-14,P025,C044,10,887581.67,707740,179841.67
T007903,2020-01-14,P043,C014,1,1998.74,1608,390.74
T001764,2020-01-14,P003,C013,2,96080.41,70990,25090.41
T006400,2020-01-14,P012,C003,3,118015.28,101376,16639.28
T003173,2020-01-14,P037,C062,10,25347.12,21780,3567.12
T003233,2020-01-15,P041,C069,3,7577.67,5589,1988.67
T001816,2020-01-15,P039,C037,15,62675.82,48435,14240.82
T008994,2020-01-15,P037,C010,20,53328.73,43560,9768.73
T001014,2020-01-16,P017,C054,15,15087.17,11475,3612.17
T000984,2020-01-16,P038,C035,3,8698.06,6666,2032.06
T001713,2020-01-16,P030,C006,3,14973.22,10812,4161.22
T009687,2020-01-16,P006,C032,2,76987.22,57878,19109.22
T004821,2020-01-16,P021,C016,1,1821.27,1475,346.27
T003319,2020-01-16,P035,C011,5,3411.17,2530,881.17
T005006,2020-01-16,P048,C068,10,25913.75,19150,6763.75
T005017,2020-01-16,P013,C072,2,96567.14,72032,24535.14
T004922,2020-01-17,P049,C070,1,58379.73,47675,10704.73
T001085,2020-01-17,P019,C070,10,62231.32,47970,14261.32
T008834,2020-01-17,P011,C032,5,5700.62,4730,970.62
T009959,2020-01-17,P001,C039,10,49336.94,42720,6616.94
T003161,2020-01-17,P026,C010,3,135655.36,98085,37570.36
T008952,2020-01-17,P026,C013,3,108673.0,98085,10588.0
T006735,2020-01-17,P048,C022,10,24085.58,19150,4935.58
T005701,2020-01-18,P044,C063,2,2216.41,1654,562.41
T003547,2020-01-18,P013,C043,1,45843.5,36016,9827.5
T002777,2020-01-18,P023,C035,1,61552.45,46243,15309.45
T004522,2020-01-18,P009,C067,3,3471.69,2658,813.69
T009969,2020-01-18,P048,C001,2,5149.79,3830,1319.79
T002470,2020-01-18,P039,C070,1,3947.26,3229,718.26
T009095,2020-01-18,P006,C004,1,34996.3,28939,6057.3
T002075,2020-01-18,P031,C059,2,762.71,596,166.71
T000298,2020-01-19,P023,C029,1,60829.64,46243,14586.64
T007245,2020-01-19,P040,C053,1,37450.48,32693,4757.48
T007863,2020-01-19,P001,C002,1,5149.31,4272,877.31
T009127,2020-01-19,P018,C007,2,2286.49,1804,482.49
T001397,2020-01-19,P001,C040,1,5610.87,4272,1338.87
T000590,2020-01-19,P043,C066,5,10273.88,8040,2233.88
T004997,2020-01-19,P028,C035,15,13963.07,10170,3793.07
T009620,2020-01-19,P046,C015,3,125587.84,101244,24343.84
T003159,2020-01-19,P031,C020,50,19701.4,14900,4801.4
T008569,2020-01-19,P005,C016,15,9250.92,8775,475.92
T003308,2020-01-19,P014,C072,1,64725.34,48483,16242.34
T004892,2020-01-20,P035,C074,1,565.88,506,59.88
T002301,2020-01-20,P008,C060,1,2952.25,2347,605.25
